id,status_1,created_by,criticality,created_on,ci_number,name_1,updated_by,soft_delete_id,version,icon_name,updated_on,asset_id,color,ci_number_fx_rev,room,model,building,serial_number,manufacturer,operating_system,university_owned_,uanet_id,machine_name,warranty_type,lab_computer,date_warranty_expires,date_shipped,owned_by,building_list,accidental_damage
15817,Deployed,101,Medium,28:50.3,15717,,101,0,,,28:50.3,,NULL,71751,,LATITUDE E5470,,D7HBHC2,Dell,Microsoft Windows 10 Enterprise,FALSE,,IGOR-E5470,,FALSE,NULL,00:00.0,,,NULL
10447,Deployed,101,Medium,26:13.8,10347,,101,0,,,26:13.8,,NULL,74301,,LATITUDE E6420,,D7K35R1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
17555,Deployed,101,Medium,30:04.5,17455,,101,0,,,30:04.5,,NULL,55471,,LATITUDE 5480,,D7WV5M2,Dell,Microsoft Windows 10 Enterprise,FALSE,,TJD-5480,,FALSE,NULL,00:00.0,,,NULL
17800,Deployed,101,Medium,30:10.3,17700,,101,0,,,30:10.3,,NULL,771,,OPTIPLEX 7050,,D7YY4L2,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
13305,Deployed,101,Medium,27:30.7,13205,,101,0,,,27:30.7,,NULL,50231,,POWEREDGE R720XD,,D80X9Y1,Dell,Microsoft Windows Server 2012 R2 Standard,FALSE,,UAUCMFILES1,,FALSE,NULL,00:00.0,,,NULL
17599,Deployed,101,Medium,30:04.6,17499,,101,0,,,30:04.6,,NULL,99471,,LATITUDE 5285,,D81DJM2,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
11152,Deployed,101,Medium,26:33.3,11052,,101,0,,,26:33.3,,NULL,25011,,LATITUDE E6420,,D8223Q1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
13495,Deployed,101,Medium,27:36.9,13395,,101,0,,,27:36.9,,NULL,59331,,POWEREDGE R520,,D857CZ1,Dell,Microsoft Windows Server 2012 R2 Standard,FALSE,,UACBAFISHER1,,FALSE,NULL,00:00.0,,,NULL
14312,Deployed,101,Medium,28:07.6,14212,,101,0,,,28:07.6,,NULL,21241,,LATITUDE E6440,,D86LL12,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
16930,Deployed,101,Medium,29:37.5,16830,,101,0,,,29:37.5,,NULL,3861,,LATITUDE 5480,,D897GH2,Dell,Microsoft Windows 10 Enterprise,FALSE,,SLG-5480,,FALSE,NULL,00:00.0,,,NULL
6512,Deployed,41301,Medium,01:02.1,6412,,41301,6512,,,01:02.1,,NULL,2146,,,,D897GH2,,,FALSE,SLG,,,FALSE,NULL,NULL,,NULL,NULL
12834,Deployed,101,Medium,27:19.8,12734,,101,0,,,27:19.8,,NULL,43721,,OPTIPLEX 7010,,D89C5W1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
13611,Deployed,101,Medium,27:39.5,13511,,101,0,,,27:39.5,,NULL,11531,,PRECISION T7610,,D89CJ02,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
6721,Deployed,41301,Medium,01:09.4,6621,,41301,6721,,,01:09.4,,NULL,1266,,,,D8GYNH2,,,FALSE,LICATE,,,FALSE,NULL,NULL,,NULL,NULL
7326,Deployed,41301,Medium,50:36.5,7226,,41301,7326,,,50:36.5,,NULL,6227,,,,D8GYNH2,,,FALSE,LICATE,,,FALSE,NULL,NULL,,NULL,NULL
17375,Deployed,101,Medium,29:56.7,17275,,101,0,,,29:56.7,,NULL,57271,,LATITUDE 5480,,D8GYNH2,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
16550,Deployed,101,Medium,29:16.1,16450,,101,0,,,29:16.1,,NULL,5461,,OPTIPLEX 7040,,D8HBKH2,Dell,Microsoft Windows 10 Enterprise,FALSE,,JCURRIE-7040,,FALSE,NULL,00:00.0,,,NULL
16551,Deployed,101,Medium,29:16.1,16451,,101,0,,,29:16.1,,NULL,15461,,OPTIPLEX 7040,,D8J8KH2,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
16552,Deployed,101,Medium,29:16.1,16452,,101,0,,,29:16.1,,NULL,25461,,OPTIPLEX 7040,,D8J9KH2,Dell,Microsoft Windows 7 Enterprise,FALSE,,APTC101-7040,,FALSE,NULL,00:00.0,,,NULL
16553,Deployed,101,Medium,29:16.1,16453,,101,0,,,29:16.1,,NULL,35461,,OPTIPLEX 7040,,D8JBKH2,Dell,Microsoft Windows 10 Enterprise,FALSE,,JCURRIE-7040-1,,FALSE,NULL,00:00.0,,,NULL
10251,Deployed,101,Medium,26:08.8,10151,,101,0,,,26:08.8,,NULL,15101,,OPTIPLEX 990,,D8L20R1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
10667,Deployed,101,Medium,26:18.9,10567,,101,0,,,26:18.9,,NULL,76501,,LATITUDE E6420,,D8M35R1,Dell,Microsoft Windows 10 Enterprise,FALSE,,TSS1-E6420-01,,FALSE,NULL,00:00.0,,,NULL
18098,Deployed,101,Medium,30:27.2,17998,,101,0,,,30:27.2,,NULL,89971,,LATITUDE 5490,,D8RLQQ2,Dell,Microsoft Windows 10 Enterprise,FALSE,,CCM00-5490-04,,FALSE,NULL,00:00.0,,,NULL
13101,Deployed,101,Medium,27:25.2,13001,,101,0,,,27:25.2,,NULL,10031,,LATITUDE E6430,,D8X2LX1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
9022,Deployed,101,Medium,25:34.5,8922,,101,0,,,25:34.5,,NULL,2298,,OPTIPLEX 980,,D93M9P1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
12018,Deployed,101,Medium,26:54.2,11918,,101,0,,,26:54.2,,NULL,81911,,LATITUDE E6420,,D96TDV1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
10650,Deployed,101,Medium,26:18.9,10550,,101,0,,,26:18.9,,NULL,5501,,LATITUDE E6420,,D9N35R1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
10352,Deployed,101,Medium,26:11.3,10252,,101,0,,,26:11.3,,NULL,25201,,LATITUDE E6420,,D9R15R1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
8718,Deployed,101,Medium,25:24.9,8618,,101,0,,,25:24.9,,NULL,8168,,OPTIPLEX 980,,D9S8MN1,Dell, ,FALSE,, ,,FALSE,NULL,00:00.0,,,NULL
6646,Deployed,41301,Medium,01:08.1,6546,,41301,6646,,,01:08.1,,NULL,6456,,,,D9SKGH2,,,FALSE,OBIEKWE,,,FALSE,NULL,NULL,,NULL,NULL
16980,Deployed,101,Medium,29:37.6,16880,,101,0,,,29:37.6,,NULL,8861,,LATITUDE 5480,,D9SKGH2,Dell,Microsoft Windows 10 Enterprise,FALSE,,OBIEKWE-5480,,FALSE,NULL,00:00.0,,,NULL
